Id,Publisher,Alignment,Year
430,Marvel Comics,bad,1964
431,Marvel Comics,good,
432,DC Comics,good,1955
435,Microsoft,good,
441,Marvel Comics,good,1965
444,DC Comics,good,1963
445,DC Comics,bad,1987
450,IDW Publishing,good,
456,Marvel Comics,good,
457,DC Comics,bad,1959
458,Marvel Comics,bad,2000
459,DC Comics,bad,
460,Marvel Comics,bad,1987
461,DC Comics,bad,
462,Marvel Comics,good,1971
463,Marvel Comics,bad,
470,Marvel Comics,good,1975
475,Marvel Comics,good,
476,Dark Horse Comics,good,2004
479,Marvel Comics,bad,1964
480,Marvel Comics,bad,
481,Marvel Comics,good,1939
485,Shueisha,good,
487,Marvel Comics,bad,1985
488,Marvel Comics,good,
489,Marvel Comics,good,1963
491,Batman II,good,
493,SyFy,good,
496,Marvel Comics,good,1976
497,Marvel Comics,good,1975
498,Marvel Comics,good,
502,Shueisha,good,
503,Marvel Comics,neutral,
504,Marvel Comics,bad,1996
505,Batgirl,good,1989
508,DC Comics,bad,
509,DC Comics,bad,
510,Sony Pictures,good,
514,DC Comics,bad,1941
517,Jean Grey,good,1963
518,Marvel Comics,bad,1963
520,DC Comics,good,1941
522,DC Comics,bad,1966
523,Marvel Comics,good,1968
524,DC Comics,good,1976
526,Dark Horse Comics,bad,1987
527,Marvel Comics,good,1963
528,DC Comics,bad,1963
529,Marvel Comics,good,1976
530,Marvel Comics,good,
531,Marvel Comics,bad,1964
533,Star Trek,-,
535,DC Comics,good,1967
536,Marvel Comics,good,
538,DC Comics,bad,1971
539,SyFy,good,
541,IDW Publishing,good,
542,DC Comics,neutral,1980
543,DC Comics,good,
545,DC Comics,good,1941
546,Robin II,neutral,
547,Marvel Comics,neutral,1962
549,Robin III,good,1989
551,DC Comics,good,
555,George Lucas,good,2015
556,Marvel Comics,bad,
559,DC Comics,good,
561,Batman II,good,1940
562,Red Hood,good,
563,Red Robin,good,1989
564,DC Comics,good,
565,DC Comics,neutral,
566,Marvel Comics,good,1976
568,Goliath,good,
569,DC Comics,good,1986
570,Marvel Comics,bad,1977
572,Marvel Comics,neutral,1963
574,J. R. R. Tolkien,bad,
576,DC Comics,bad,1941
577,Spider-Carnage,good,
578,Marvel Comics,good,1994
579,Marvel Comics,bad,1964
581,Venom III,bad,1964
582,Marvel Comics,bad,
583,Marvel Comics,neutral,2000
585,DC Comics,good,
586,Marvel Comics,good,1980
587,Marvel Comics,good,1973
589,Marvel Comics,good,
590,Ms Marvel II,good,
591,Marvel Comics,bad,
594,Marvel Comics,good,1964
595,Marvel Comics,good,
598,Marvel Comics,good,
600,DC Comics,good,2012
601,DC Comics,neutral,
602,DC Comics,bad,1965
609,DC Comics,bad,1944
611,DC Comics,good,1966
612,Image Comics,good,1992
613,Aztar,good,1940
615,DC Comics,good,
618,Marvel Comics,good,1998
619,Marvel Comics,good,
620,Marvel Comics,good,
623,Marvel Comics,good,1977
627,Star Trek,good,
628,Marvel Comics,good,2000
630,Marvel Comics,good,1976
632,DC Comics,good,1980
633,DC Comics,good,1999
634,DC Comics,good,1993
637,DC Comics,bad,
638,Marvel Comics,good,1975
639,George Lucas,bad,1977
640,Marvel Comics,good,1982
642,DC Comics,bad,1985
643,DC Comics,good,2004
644,Superman Prime One-Million,good,
645,DC Comics,bad,1972
646,Marvel Comics,bad,1977
649,Dark Horse Comics,bad,
650,Dark Horse Comics,bad,1984
651,Dark Horse Comics,bad,2003
652,Dark Horse Comics,bad,
653,Marvel Comics,bad,
655,Marvel Comics,bad,
657,DC Comics,neutral,1986
658,Marvel Comics,good,1961
659,Rune King Thor,good,1962
660,Marvel Comics,good,
666,Marvel Comics,bad,1968
670,Marvel Comics,neutral,1964
671,Marvel Comics,good,2004
672,Anti-Venom,good,
677,Marvel Comics,good,1965
680,Marvel Comics,bad,1968
681,Marvel Comics,bad,
686,Shueisha,bad,
687,Anti-Venom,bad,
689,Scorpion,bad,1964
690,Deadpool,-,2011
692,DC Comics,good,
693,Vindicator II,good,1980
696,Dark Horse Comics,good,2004
697,Anti-Vision,good,
699,DC Comics,good,1981
701,Marvel Comics,bad,
702,Marvel Comics,bad,1984
703,Marvel Comics,good,1979
707,Thunderbird II,good,1984
708,Marvel Comics,good,
711,DC Comics,bad,
714,Marvel Comics,good,2005
717,Marvel Comics,good,
718,DC Comics,good,1996
720,DC Comics,good,1941
723,Marvel Comics,good,
726,Ant-Man,good,
727,Marvel Comics,good,
728,Marvel Comics,good,
729,George Lucas,good,1980
730,DC Comics,good,
